id,LiveMusic,UCPLoyalty,Shuttle,Subscriber
1,4,5,4,1
2,4,3,5,1
3,4,5,5,1
4,4,3,4,1
5,4,3,4,1
6,3,1,2,0
7,4,5,3,0
8,2,1,2,0
9,4,3,5,1
10,2,5,,0
11,4,2,3,0
12,4,4,5,0
13,4,5,5,1
14,4,4,5,0
