id,Live Music,UCPLoyalty,Shuttle,Subscriber
1,4,3,5,1
2,4,2,4,2
3,4,2,4,2
4,4,3,3,2
5,4,2,4,1
6,2,1,3,2
7,4,5,2,2
8,4,5,NA,1
9,4,2,2,2
10,4,2,4,2
11,4,4,1,2
12,4,3,5,2
13,4,3,3,2
14,4,1,5,2
