id,Overall Experience,Artist's Performance,Intimacy with Musicians,Pre-Concert Talk,Venue,Price/Value
1,5,4,4,NA,1,5
2,4,5,5,2,4,4
3,4,5,5,2,4,4
4,5,5,5,1,5,4
5,5,4,4,NA,5,4
6,4,4,4,4,4,4
7,4,5,1,NA,4,4
8,4,5,NA,NA,5,4
9,5,5,5,NA,5,5
10,5,5,3,NA,4,5
11,NA,5,5,5,5,5
12,5,5,1,NA,1,5
13,2,4,1,5,1,1
14,4,5,3,NA,4,5
