id,LiveMusic,UCPLoyalty,Shuttle,Subscriber
1,4,1,3,1
2,4,1,3,1
3,4,5,4,2
4,4,5,5,2
5,1,2,2,1
6,4,4,4,1
7,4,5,4,2
8,4,5,4,2
9,4,5,4,2
10,4,3,4,2
11,4,3,4,2
12,4,4,4,2
13,3,1,2,1
14,4,3,5,2
15,3,1,3,1
